数据类别,数据维度,数据类型,定义说明,访问权限要求
用户档案,username,string,用户名,portability.postsandprofile
用户档案,following_count,int64,关注人数,portability.postsandprofile
用户档案,follower_count,int64,粉丝数量,portability.postsandprofile
用户档案,video_count,int64,发布视频数量,portability.postsandprofile
用户档案,likes_count,int64,累计获赞数量,portability.postsandprofile
用户档案,bio_description,string,个人简介,portability.postsandprofile
用户档案,display_name,string,显示名称,portability.postsandprofile
用户档案,avatar_uri,string,头像URL,portability.postsandprofile
用户档案,is_verified,int64,验证状态,portability.postsandprofile
用户档案,bio_URL,string,个人简介链接,portability.postsandprofile
视频数据,id,string,视频唯一标识符,portability.postsandprofile
视频数据,create_time,int64,视频发布时间(UTC时间戳),portability.postsandprofile
视频数据,cover_image_url,string,视频封面图片URL,portability.postsandprofile
视频数据,share_url,string,视频分享链接,portability.postsandprofile
视频数据,video_description,string,视频描述,portability.postsandprofile
视频数据,duration,int32,视频时长(秒),portability.postsandprofile
视频数据,height,int32,视频高度,portability.postsandprofile
视频数据,width,int32,视频宽度,portability.postsandprofile
视频数据,title,string,视频标题,portability.postsandprofile
视频数据,embed_html,string,嵌入HTML代码,portability.postsandprofile
视频数据,embed_link,string,嵌入链接,portability.postsandprofile
视频数据,like_count,int32,视频点赞数,portability.postsandprofile
视频数据,comment_count,int32,视频评论数,portability.postsandprofile
视频数据,share_count,int32,视频分享数,portability.postsandprofile
视频数据,view_count,int64,视频观看数,portability.postsandprofile
视频数据,favorites_count,int32,收藏数,portability.postsandprofile
视频数据,music_id,string,背景音乐ID,portability.postsandprofile
视频数据,effect_ids,string,特效ID列表,portability.postsandprofile
视频数据,hashtag_names,string,话题标签名称,portability.postsandprofile
视频数据,playlist_id,string,播放列表ID,portability.postsandprofile
视频数据,voice_to_text,string,语音转文本,portability.postsandprofile
视频数据,video_label,string,视频标签,portability.postsandprofile
视频数据,video_mention_list,string,提及列表,portability.postsandprofile
视频数据,video_tags,string,视频标签,portability.postsandprofile
活动数据,favorite_effects,string,收藏特效,portability.activity
活动数据,favorite_hashtags,string,收藏话题标签,portability.activity
活动数据,favorite_sounds,string,收藏音乐,portability.activity
活动数据,favorite_videos,string,收藏视频,portability.activity
活动数据,browsing_history,string,浏览历史,portability.activity
活动数据,login_history,string,登录历史,portability.activity
活动数据,search_history,string,搜索历史,portability.activity
活动数据,share_history,string,分享历史,portability.activity
广告主数据,business_id,i64,广告主商业ID,Research API
广告主数据,business_name,string,广告主商业名称,Research API
广告主数据,country_code,string,广告主国家代码(ISO 3166-1),Research API
购物数据,product_browsing_history,string,产品浏览历史,portability.all
购物数据,shopping_cart_list,string,购物车列表,portability.all
购物数据,vouchers,string,优惠券,portability.all
购物数据,order_history,string,订单历史,portability.all
购物数据,product_reviews,string,产品评价,portability.all
购物数据,returns_refunds,string,退货退款历史,portability.all
购物数据,payment_information,string,支付信息,portability.all
购物数据,saved_address,string,保存地址,portability.all
私信数据,direct_messages,string,私信内容,portability.directmessages
数据请求,request_id,int64,数据请求唯一ID,所有权限
数据请求,apply_time,int64,申请时间(UTC时间戳),所有权限
数据请求,collect_time,int64,收集开始时间(UTC时间戳),所有权限
数据请求,status,string,请求状态(pending/downloading/expired/cancelled),所有权限
数据请求,data_format,string,数据格式(json/text),所有权限
数据请求,category_selection_list,string,数据类别选择列表,所有权限
